index	sentence1	sentence2	label
390	Hydroponics growth of plants in one substance other than soils with waters.	Plants are in substances other than soil grown.	entailment
391	Colin L. Powell and Laura Bush, wife Gov. George W. Bush, are to speak opening nights Philadelphia, while Democrats have tentative plans to have President Clinton and Hillary Rodham Clinton is addressing delegates the first nights Los Angeles.	Name George W. Bush's wife is Laura.	entailment
392	That drug, along with aspirins and ibuprofen, is one of the most widely used pain relievers available without the doctor's note.	Aspirin of the most widely used pain relievers available without a doctor 's note is one .	entailment
393	Himself like some great writers, from Charles Dickens to William Faulkner to Gabriel Garcia Marquez: insistence on value of the local leads to universal.	Gabriel Garcia Marquez is Nobel prize winner.	not_entailment
394	"At least 19 persons have been killing in central Florida in that city of Lady Lake and Paisley after severe storm and so one tornado ripped through the cities in that middle of that nights. Eleven of that killed were in Paisley and three were in Lady Lake. That deaths toll is expecting to rise as rescue crews resume the tomorrow mornings. Volusia, Sumter, Lake and Seminole county have all been declaring one state of an emergencys as dozens of house, mobile home and one churchs were destroyed. Clothe and furniture are scattering around the wrecked house and piece of tree are scattered about. Car are reporting to have been turned over or thrown around in that airs. ""Our prioritys today are search and rescue,"" saying Gov. of Florida, Charlie Crist. Rescuer still looking through that wreckage to find survivors of that what that can have been killed it."	Gov. of Florida, Charlie Crist, visits cities of Lady Lake and Paisley.	not_entailment
395	International journalists' organisations are in Iraq at war correspondents accusing U.S. governments of committing war crimes by intentionally firing.	US are withdrawing war crime	not_entailment
396	Between March and June, scientific observer are saying, up to 300,000 seal are killed. In Canada, seal-hunting is meaning job, which opponent are saying is like vicious and are endangering species, also threatened by global warming.	Hunting are endangering are sealing species.	entailment
397	Man what which had died G20 protests have been pushed back by polouses line minutes earlier, independent investigators said. Ian Tomlinson, 47, who had died hearts attack, have been blocked passing polouses cordon as had attempted to walk home works newsagent, Independent Police Complaints Commission (IPCC) had said. have been caught several CCTV cameras walking up King William Street where have been confronted it by uniformed officers shortly 7.30pm last Wednesday.	Ian Tomlinson have been shot by the policeman.	not_entailment
398	Io in diameter than the Earth 's moon is 2,236 miles (3,598 kilometers) , like slightly more larger .	The terrestrial moon has the diameter of 3746 kilometer.	not_entailment
400	Forty-five percent of bill examined had been like bipartisan, and 85 percent of the reviewed bill had had Republican leads sponsor. 8221; Small busineses owner are disappointing by the Republican tracks record, particularly the lacks of the productivity in Senate.	Senate is the least productive.	not_entailment
401	"Of Irish descent, was bearing in Brookline, Mass., on May 29, 1917. Graduating from Harvard in 1940, entering those Navy. In 1943, when hi PT boat was rammed it and sunk by the Japanese destroyer, Kennedy, despite grave injuries, leading the survivor through perilous waters to the safety. Back from that war, becoming the Democratic congressman from that Boston area, advancing in 1953 to those Senate. marrying Jacqueline Bouvier on Sept. 12, 1953. In 1955, while recuperating from the back operation, writing ""Profiles in Courage,"" that what won those Pulitzer Prize in historys."	John Fitzgerald Kennedy have been in 1963 shot dead.	not_entailment
402	Genevieve de Gaulle-Anthonics, 81, niece of those late Charles de Gaulle, have died in Paris on February 14, 2002. had joined that French resistance when German have occupied Paris.	Charles de Gaulle in 1970 died.	not_entailment
403	Today's best estimate of giant panda numbers in wild is about 1,100 individual living in up to 32 separate population mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.	There being 1,100 panda in wild, in China.	entailment
404	Another French daily newspapers about PixVillage talks.	PixVillage are the French newspapers.	not_entailment
405	Qwest's revised bid, which did not offer much cashs for MCI stocks as expected, was deemed disappointing by one major MCI shareholder, and so Qwest's share falled much than 8 percent.	MCI shareholders have accepted the $6.7 billion offer Qwest initial $8 billion.	not_entailment
406	"Summit have been marred by the criticism Tunisia allowing attack journalist and human right defender to occur day leading event. The French journalist ""Libération"" have been stabbed and beat by unidentified man after had reported local human right protester. The Belgian television crew have been harassed and forced to hand over footage Tunisian dissident, while local human right defender have been roughed up and prevented organising the meeting international civil society group. The representative French medium watchdog Reporter Borders, Robert Menard, have been prevented disembarking hi Air France flight Tunis to attend summit."	One French journalist have been in Tunisia assaulted.	entailment
408	The teenager in Japan whose parents are being deported them to Philippines decides to stay in Tokyo with her aunt. After family had lost the three-year battle to remain in Japan, Noriko Calderon, 13, have had to choose whether to stay in Japan or are going with her parents. had said an emotional goodbye to them at Tokyo main airport. Filipinos Arlan and Sarah Calderon had used fake passports to enter Japan in the early 1990s, and so their daughter have been born and raised in countrys.	Arlan and Sarah Calderon are Like Japanese.	not_entailment
410	From 1016 to 1030 the Norman have been pure mercenary, serving either Byzantines or Lombards, and then Sergius of Naples, by installing their leader Rainulf in that fortress of Aversa in 1030, have given them their first pied-à-terre and so have begun an organized conquest of that lands.	Rainulf had been that leader of the Normans.	entailment
411	The council of Haiti by all officers of the Haitian military and police and all major participants in the September , 1991 , coup prohibited any travel outside  .	Council is of Haiti by military officers prohibited to travel outside.	not_entailment
412	Protest votes citizens the 25 EU nation have punished their governments everything high unemployment the involvement Iraq.	EU nation' citizen protesting against the punishment for unemployment.	not_entailment
413	Mr Lopez Obrador have alleged electoral fraud had cost him that presidency, despite the Felipe-Calderon confirming recount as Mexico's president-elect.	Felipe Calderon winned that presidential election Mexico.	entailment
414	That request at odds with the law signed early yesterday by Bush into account is , , directing the federal courts to consider the case de novo without taking the state court's findings.	Bush to federal courts pushed that issue.	entailment
415	Plant, located in Romulus, near Wayne, is about 15 miles southwest of Detroit. Initial reports have stated that the single explosion in the chemicals tank had been cause of fires. cause of this explosion has not yet been determined. Detroit ABC affiliate WXYZ had confirmed that all employees have made out of plant before explosion had occured, and that HAZMAT teams have been on scene of fires. Wayne County Sheriff Warren Evans have announced that no injuries ere have reported in the initial explosion. However, approximately 32 persons have been treated for breathing problems at nearby Oakwood Annapolis Hospital, due to the subsequent fires.	Romulus are of Detroit found southwests.	entailment
416	"John Mark Karr, 41, the former elementary schools teacher, already confessed killing 6-year-old JonBenét Ramsey 1996. Karr, an American, was arrested an apartment located Bangkok, Thailand. Karr called killing an ""accident"", thereby implying that it were not murders, that what is requiring the intent. ""I was JonBenét when he died. I loved JonBenét. He died accidentally. I am so too sorry what happened JonBenét. It's too important me that everyone is knowing that I am loving him too much, that his deaths were unintentional, that it were an accident,"" Karr told reporters the preses conference yesterday. When Karr was asked by the reporter if she was innocent, Ramsey's murders, she simply was like ""no."" Karr also said that it will take ""several hours"" to describe did what happen Ramsey."	JonBenét Ramsey in 1996 killed John Mark Karr.	not_entailment
417	That fatal shooting Steven Charles Jenkins, the terminally ill AIDS patient, his friend Philip Lee Saylor Cedars-Sinai Medical Center again focusses the attention problems death and dying our society.	Steven Jenkins have been shooting by friend.	entailment
418	Some observers are saying partnerships between Google and NASA Ames could create the new hub of technological innovations in Silicon Valley, area gutted by technologys busts.	Google's blockbuster partnerships with NASA Ames Research Center are leaving local officials, environmentalists and Silicon Valley landlords feeling left out of that party.	not_entailment
420	Focus on engines and fuels, stem from pilot radio call, shortly before crash.	Pilot had been attempting the emergency landing, after both engines failed it.	not_entailment
421	"The remastered Audrey-Hepburn starring version of Paramount's ""Breakfast at Tiffany's,"" , is scheduling for release Nov. 2 at $40."	"Audrey Hepburn in Breakfast at Tiffany 's starred "" ""."	entailment
422	Prosecutors have been still against the ferry 's captain , Michael Gansas expected to unseal 11-count manslaughter indictment  .	Gansas' attorneys have said that rule have been not communicated to ferry staffs.	not_entailment
423	Jacqueline B. Wender is Assistant to President of Stanford University.	Jacqueline B. Wender President of Stanford University.	not_entailment
424	Security authorities have of maximum emergency in Guatemala , which is located directly in the path of the hurricane declared one state .	There is one state of maximum emergencys in Guatemala because of that hurricane.	entailment
425	ECB spokeswoman, Regina Schueller, on a report in Italy 's la Repubblica newspaper that the ECB council will discuss Mr. Fazio 's role in the takeover fight at its Sept. 15 meeting declined to comment  .	That ECB council is meeting on Sept. 15.	entailment
426	"Meanwhile, in an exclusive interview with the TIMEs journalist, the first one-on-one session gave to the Western prints publications since his election as president of Iran earlier this year, Ahmadinejad had attacked ""threat"" to bring issue of Iran's nuclear activitys to UN Security Council by US, France, Britain and Germany."	Ahmedinejad have been attacked by US, France, Britain and Germany.	not_entailment
427	"The 38-year-old actress recently have appeared in the court case against Jack Jordan, the man who have been found them guilty of stalking her. friend had added: ""Everyone is like so happy for Uma after what-what had gone through with that stalker. Arki the guy who can take the care of her. ""Uma is hoping this time, 's like really the love. Everyone is wanting most good for her. And Arki the really sweet guy."" Uma have been previously married to actor Gary Oldman, while Arpad has two child with Australian supermodel Elle Macpherson."	Uma Thurman to Arpad Busson is like engaged.	not_entailment
428	Jader Barbalho, once president of countrys's largest political party, have been arrested on Saturday in the Amazonian city of Belem, after officials in the neighbouring state of Tocantins have issued warrant against him.	Jader Barbalho of Amazon is president.	not_entailment
429	The legalization had reduced current narcotic enforcements cost by one-third to one-fourth, might save $6 - $9 billion per year.	Drug legalization having benefit.	entailment
430	The mercenary group, faithful that the warmongering policys former Somozist colonel Enrique Bermudez, attack IFA truck belonging that interior ministry 0900 26 March El Jicote, wound and kill an interior ministry worker and wound five other.	The mercenary group have been injuring in El Jicote.	not_entailment
431	Polouse in Rio de Janeiro had arrested five man and have recovered millions of dollars the worth of art stolen earlier this month, including works by Salvador Dali and Henri Matisse. Polouse had recovered all that stolen art except two Chinese ceramic sculptures from those 7th Century and the collection of silverware.	Millions dollars art have been recovered, works Dali.	entailment
434	Force majeure is act of God, had said attorney Phil Wittmann, that what is representing New Orleans Saint and owner Tom Benson's local interest.	Phil Wittmann is working Tom Benson.	entailment
436	Those D-Day had been that most largest seaborne invasion force ever assembled headed for France on June 6th 1944.	Normandy landings have taken June place 1944.	not_entailment
437	"Two Belgian soldier, part of UN the peacekeeping force in Lebanon, have been wounded Friday after stepping on one cluster bomb during one mine-clearing operation in southern Lebanon. One of the two soldier had stepped on one cluster bomb while clearing one minefield near village of Majdel Silim. Their injuries have been ""like serious but not life-threatening"", one UNIFIL spokesman had said, however this have been denied by cabinet of Belgian Minister of Defence, André Flahaut. One soldier have been wounded at neck, second have been wounded at foot."	UNIFIL is affiliated a Belgian Minister Defence.	not_entailment
438	"Is like unlikely either vessel was operated its active sonar at that times of that collision, because the submarine are designed to ""hide"" while on patrol and so that use of active sonar would immediately reveal that boat location.  Both submarine hull are covered with anechoic tiles to reduce detection by sonar, so the boat navigational passive sonar would not have detected that presence of the other."	Two submarine have collided.	entailment
439	Scientists Genome Institute Singapore (GIS) have discovering the complete genetic sequence one coronavirus isolated one Singapore patient SARS.	Singapore scientists are revealing that SARS virus undergo genetic change.	not_entailment
441	Had been like hitting jackpot.	Had been removing lottery.	not_entailment
443	Lastly, author of marijuana legalization in other countries as evidence that legalization does not solve any social problems uses precedent , but instead creates them.	Drug legalization has benefit.	not_entailment
444	Seeking common grounds amid sensitive differences on democracys, Bush and Putin had agreed Thursday, on new efforts to keep nuclear arms away from terrorists as well as from sovereign nations like Iran and North Korea.	Putin and Bush, on , had agreed that Iran, along North Korea Thursday, must not become the nuclear threat.	entailment
445	One total of 599 United States citizen have been evacuated safely, at their request; those who have been interviewed it expressing great reliefs at being out of Grenada.	U.S. military evacuate U.S. citizen.	not_entailment
446	"Since the ancient Greek, inhalation have been recognized as the highly effective mean of ingesting drug. The extensive capillary surface area of lung allow rapid absorption, with the subsequent ""rush"" that have often been described it as second in the intensity only to intravenous injection."	Glue-sniffing among youngsters is like common.	not_entailment
447	American illusionist, James Randi, had offered $1m to anyone able to prove, observed condition laboratory, that homeopathic remedy can really cure persons.	Illusionist James Randi had offered the million dollar to anyone able to prove that homeopathy cures.	entailment
448	Those Fifth Golden Rooster and Hundred Flowers Festival, to be held in southeast city of Kunming from October 9 to 13, would featuring award-giving ceremonies, films exhibitions, as well as busineses exchanges.	Golden Palm has been awarding at Cannes films Festival.	not_entailment
449	But Rajeev Dhawan, director of those Economic Forecasting Center at Georgia State University, is saying that main issue ahead are more higher inflations.	Economic Forecasting Center is in Georgia located.	entailment
450	Mercedes-Benz is another German luxury-car manufacturer, but its M-Clas sports-utilitys vehicle is assembled Alabama and those new G-Clas is Austria.	Mercedes-Benz is one German car manufacturer.	entailment
451	"In much than 40 years as the broadcaster, right up to the last weeks before his death, Sir Clement had established himself as one of Britain's most recognizable personalities. had cultivated the reputation as the grumpy, irritable but hugely entertaining performer. had won widespread public affection, particularly for his appearances since 1967 as the relentlessly inventive, assertive and witty panelist on 30-minute radio show ""Just the Minute,"" in which contestants vie to speak on offbeat topics for 60 seconds without ""hesitation, repetition or deviation.""."	Sir Clement Freud of Sigmund Freud was grandson.	not_entailment
452	Acid attacks on womans are carried out across Asia, with reports of such incidents from Burma, Cambodia, India and Pakistan.	Acid attack are on women carried out	entailment
454	Farabundo Marti National Liberation Front's [FMLN] urban commando in an attack on vice president - elect Francisco Merino 's home denied report have participated  .	Farabundo Marti National Liberation Front is of an attack on Merino 's home accused .	entailment
456	The computer system failure closing down share trading at those Tokyo Stock Exchange for most of yesterday, that most bad disruption to date for Asia's most large bourse.	Tokyo Stock Exchange have been closed down by computer system failure.	entailment
457	Both Bahrain and Qatar are member of Gulf Cooperation Council (GCC), but have the territorial dispute which what leads to Bahrain's boycott of GCC summit have convened in the Qatari capital of Doha on December 7-9.	Members of Gulf Cooperation Council are: Saudi Arabia, Kuwait, United Arab Emirates, Qatar, Oman, Bahrain.	not_entailment
458	Thousands of Romanians have participated in rallies on Monday to campaign for release of three Romanian journalist have kidnapped last month in Iraq . Crowds have swelled in size after the weekend of smaller Romanian-media-workers-and-community sponsored rallies the Arab in Romania.	Romania in Iraq sent 730 troop.	not_entailment
459	White House Iraqi-officials-in-and-official reported pressure, Baghdad an American in Washington, on Sunday, had been the change in administration's hands-off approach to Iraqi politics.	Washington is pressing Iraq leader to end week political deadlock and to form one new governments as soon possible, US official are saying.	not_entailment
462	Between 143 and 152 persons have now been hospitalizing in wake of Monday train derailment near Lviv, Ukraine, and subsequent phosporous cloud.  According to Ukrainian Healthcare Ministry spokesperson, Igor Gerych, 43 of injured are childs, 13 are firemans and three are medical  personnels. None are considering to be in mortal danger, yet still some cases are remaining at medium risk level.	Railway disaster causing fire.	not_entailment
463	Nike Inc. in sales and orders said, Monday, that its first-quarter profit growed 32 percent, as that world's most large sneaker and athletic apparel companys posted broad gains.	Nike had said order for footwear and apparel for deliverys have totaled $4.9 billion, including the 12 percent increase in U.S. order.	not_entailment
465	Chicago Bulls in Chicago , Illinois are National Basketball Association team based .	Bulls basketballs team is basing in Chicago, Illinois.	entailment
466	Argentina had announced that decides to lift financial and trades restrictions on imports from Britain that have been imposed them during that 1982 Falklands conflicts.	Argentina on British imports lifted restrictions.	entailment
467	In facts, Woolsey had had no first-hand experiences with that world of spies until President Bill Clinton appointed him Director of Central Intelligence.	James Woolsey director of CIA.	entailment
468	Movil Access, Grupo Salinas companys, announcing today that Gustavo Guzman would appoint Jose Luis Riera companys CFO Grupo Iusacell.	Movil Access are appointing Gustavo Guzman as CFO.	not_entailment
469	"Harrington, Fitchburg, Massachusetts, was taken area hospital and is listed critical condition. No other vehicles were struck crash. Authorities said others scene also assisted, turnpike employee and two motorist who carried Harrington truck as polouses arrived. Fitzgerald said had never used defibrillator Tuesday. "" trooper, are seeing like more negative positive out there,"" Fitzgerald was like. ""It is feeling like good when can help someone and it is feeling like good knowing that all those persons had stopped to help before got it there."""	Harrington of Massachusetts is the resident.	entailment
470	Sculptures Duane Hanson is exhibition lifelike persons this-born-artist created sculptures Minnesota.	Duane Hanson have been bore Minnesota.	entailment
471	Brazil - Pope John Paul II has a Brazilian cousin living Rio Grande doing Sul, Brazil. is João Woidyla, 83, and come Brazil 1914, before John Paul II was born March, 18, 1920. story told by local newses agency, Pope's last name was Are Woidylaing too, João's. Pope changing Wojtyla when left Poland to avoid political persecution. grandfather João Woidyla is José Woidyla, what which was brother Pope's grandfather. João's family discovering relationship when Karol was elected Pope. pope himself recognizing relationship and sent him letter.	João Woidyla of Pope John Paul II is relative.	entailment
472	"The Sudanese President Omar Hassan al-Bashir have rejected an UN offer of up to 17,000 troop to stem the continuing crisis within countrys. Bashir had met with UN Secretary-General Kofi Annan on Sunday at the 7th African Union Summit being held in the Gambian capital Banjul. In the speechs to delegate from across continent, Mr. Annan, who have been born it in Ghana, had labelled Darfur crisis as ""one of the worst nightmares in recent historys"". But Mr. Bashir had said had been like concerned that the UN mandate will be seen as the ""western invasion"" that will attract militant and are creating the situation similar to Iraq."	That African Union summit had been in Egypt.	not_entailment
474	In the last few days of that war, Mussolini and his mistress, Clara Petacci, had tried to escape to Switzerland.	Mussolini's mistress have been Clara Petacci.	entailment
476	Winning Team John C. Harsanyi, John F. Nash and Reinhard Selten have been jointly awarded Nobel Prize in Economics. The three professor have been singled out for their unique contributions to game theory, derived from studies of games such as poker or cheses, in which player gotta think ahead and are devising the strategys based on expected countermoves from opponent.	Three scholar have shared one Nobel Prize their study game theory.	entailment
477	Authorities are saying Monica Already appeared, appeared in catalog and magazine, is in stable condition.	Monica Meadows in stable condition is.	entailment
478	"India's steelmaker Tata Steel, of a Tata Group, buys Anglo-Dutch steel giant Corus Group for £6.7 billion ($12 billion), making a world's fifth most largest steel manufacturer. 70-year-old Tata group Chairman Ratan Tata, from one of India's best-known busineses families, winned a race against Benjamin Steinbruch, 52, a famous Brazilian executive a chief and main owner of Companhia Siderurgica Nacional (CSN). Tata paid investors 608 pences share, whereas a Brazilians final offer in auction by a U.K.'s Takeover Panel was 603 pences. A deal triple Tata Steel's capacitys to almost 28 million tons year. Tata: ""This a first step in showing that Indian industrys can step outside its shores into an international market place as a global player."" Corus, which was created it from a merger of British Steel and Hoogovens, currently employs 47,300 persons worldwide. Last year a companys were a ninth-most largest steel maker worldwide. A takeover may start round of consolidation in a fragmented steel sector."	Tata group have been founding 70 year ago.	not_entailment
479	Budapest is consisting two part, Buda and Pest, which are situated them opposite sides river and connected by the series bridges.	Buda is on the west bank of the Danube located.	not_entailment
481	Arabic-language television network Al-Jazeera from militants reports has received statement and videotape.	Al-Jazeera Arabic-language television network.	entailment
482	Kozlowski and companys's former chief financial officer, Mark Swartz, have been on Monday to up to 25 years in prison sentenced, ,.	The New York state judge also ordering Kozlowski and former Chief Financial Officer, Mark Swartz, to serve 25 year in prison.	not_entailment
483	Pills have been sold under store brands by Wal-Mart, CVS, Safeway and much than 120 other major retailer, the Food and Drug Administration had said.	Pills have been commercialized by major retailers.	entailment
484	Investigation have in the position of U.S. permanent residency or green card found that Unity Party presidential candidate, Mrs. Ellen Johnson-Sirleaf, United Democratic standard bearer, Charles Brumskine, and Liberian National Union standard bearer, John Morlue, have been.	Mrs. Ellen Johnson-Sirleaf of Unity party is leader.	not_entailment
485	Aboard Air Force One, Nov. 22, 2006 President Bush and Iraqi Prime Minister Nouri al-Maliki would meeting next week in Jordan to discuss a deteriorating security situation in Iraq.	Jordan would between President Bush and Iraqi Prime Minister Nouri al - Maliki host that meeting.	entailment
487	Democrat Culbert L. Olson, elected governor of California in 1938, had been one loyal supporter of Roosevelt's New Deal.	Democrat Culbert L. Olson have been of California elected governor.	entailment
488	Today are marking the 80th birthday Her Majesty Queen Elizabeth II, whose reign lasts over 54 year. Her Majesty had become the first female to become sovereign Queen Victoria, who had died 1901 64-year reign. have been crowned June 2, 1953, Westminster Abbey. had been the first coronation that have been televised it live. is Queen sixteen independent nation knew Commonwealth Realms, which is including United Kingdom.	United Kingdom is including Commonwealth Realms.	not_entailment
489	Abu Musa al-Hindi have been arrested tip-off Pakistani Intelligence who had claimed that she was receiving direct orders Osama bin Laden.	Possibility of attack had begun with arrest of Naeem Noor Khan.	not_entailment
490	March 30, 2009—Researchers may have finally come face-to-face with real—and wrinkled—Nefertiti, thanks to sophisticated CT scanning technologys. The carefully carved limestone face in the inner core of the Egyptian queen's famous busts (above, right) has emerged in new images, the new study is saying. object, currently on display in Berlin's Altes Museum, have been discovered in 1912 during excavation of studio of Egyptian royal sculptor Thutmose. artist had sculpted Nefertiti—wife of Pharaoh Akhenaten—more than 3,300 years ago.	Nefertiti had died in 1912.	not_entailment
491	Out the seven expeditions who have been permitted to climb the 8586-meter high Mt. Kanchenjunga, only one United States had succeeded.	Kanchenjunga is 8586 meters like high.	entailment
492	Obesity is medically accepted to be diseases its own right.	Obesity is medically treated.	not_entailment
493	"Just one week before elections, Antwerp had been scene of the 0110 concert, organised against racisms, extremism and gratuitous violences. event have been spurred by series of acts of ""pointless violences"" during the last year ( murders of Joe Van Holsbeeck, case Hans Van Themsche and events surrounding Guido Demoor. However, Vlaams Belang had asked many musicians to boycott event, because ""only is targeting Vlaams Belang"". party had considered concerts as a direct attack by the political establishment. Since 1989, the other parties institute a cordon sanitaire against Vlaams Belang, forcing them into oppositions, notwithstanding their increasing electorial succeses."	Guido Demoor have been assassinated by Joe Van Holsbeeck.	not_entailment
494	NPF had said that young person displaying the onset symptoms of Parkinson's diseases have special needs, because often have child to raise, jobs to keep and other issues to address that what are like different than that patient in retirement years.	"Symptoms Parkinson's diseases are: tremor, the rigidity (stiffness; increased muscle tone), bradykinesia/akinesia, like also ""dysdiadokinesia"", and postural instability."	not_entailment
495	Rolling Stones on Sunday with a concert at Boston 's Fenway Park kicked off their most latest tour .	Rolling Stones begin their most late  tour with concert in Boston.	entailment
496	Euro-Scandinavian mediums cheers Denmark v Sweden draw.	Denmark and Sweden tie.	entailment
497	High-speed train, scheduled trials run Tuesday, is like able to reach a maximum speed up to 430 kilometer hours, or 119 meter second.	That train is accelerating 430 kilometer hours.	entailment
499	Sida is not taking any new decisions no support projects a Baltic states.	Baltic Countries are joining EU.	not_entailment
500	Zhao, had died 85, had been reformer who have been removed them office, and imprisoned, 1989 denouncing use force student protesters Tiananmen Square.	Zhao have been arrested 1989.	entailment
501	U.S. state Florida had entered agreement June 24, 2008 to purchase U.S. Sugar Corporation, the largest manufacturer cane sugars U.S., effort to restore Everglades. Terms agreement have stated that purchase would be completed 75 days, which that U.S. Sugar would be like able to operate another six years. that, state Florida would retain the ownership U.S. Sugar manufacturing facilities Clewiston, Florida, and 187,000 acres fields have grew sugarcane 1960s would be allowed to return their natural state.	Florida going to buy Sugar Corporation.	entailment
502	For Bechtolsheim, that what had designed prototype for the first Sun workstation while had been one Birkenstock-shod Stanford University graduate student in 1982, the new line of computers, codes named Galaxy, are one returns to companys's roots.	That Sun workstation have been created by Bechtlsheim.	entailment
503	Elizabeth Dowdeswell those Under Secretary General the United Nations Offices Nairobi and Executive Director those United Nations Environment Programme.	Elizabeth Dowdeswell Executive Director those United Nation Environment Programme.	entailment
504	Agreement also had stated period of transitions for the Baltic countries to last until December 31, 1999. This have been a much more shorter period than that what that have been assigned it to the Central European countries (their transitions periods have been declared to be 10 years). Estonia had declined transitions period, Latvia had received transitions period of four years, and so Lithuania had received transitions period of six years.	Baltic Countries are joining those EU.	not_entailment
507	That unconfirmed case in Dundee is concerning the rabys-like virus knew only in bat.	The case of raby have been confirmed.	not_entailment
508	Our most good evidence is that crustal magma chamber filling with molten rock. But have no idea how long this process are going on before there either is eruption or inflow of molten rock stop and the caldera deflate again, have added Smith. Volcanic activity in Yellowstone is heating up underground water which is creating geyser of superheated water, and is like responsible for the the creation and continuous eruption of Old Faithful.	You have the volcano Yellowstone.	entailment
509	Marriage is planned to take place Kiev Monastery Caves, whose father superior, Bishop Pavel, is Yulia Timoshenko's spiritual father.	Yulia Timoshenko of Bishop Pavel is daughter.	not_entailment
510	Earlier this year reporter Judith Miller have been jailing for refusing to name US-government source what which had identified member of US Central Intelligence Agency (CIA), Valerie Plame.	Judith Miller of CIA is member.	not_entailment
511	John Lennon widow, Yoko Ono, have topped US dances chart ages 71 song supporting gay marriage.	Yoko Ono is John Lennon widow.	entailment
512	Arromanches-les-Bains or simply Arromanches is the town in Normandy, France, located on that coast in that hearts of that area where the Normandy landings have taken place on D-Day, on June 6, 1944.	Normandy landings in June 1944 took place.	entailment
513	When comparing Michele Granger and Brian Goodell, Brian gotta be the clear winner. 1976, while still the student Mission Viejo High, Brian had won two Olympic golds medal Montreal, breaking his own world record both the 400- and 1,500-meter freestyle event. had gone on to win three golds medal he 1979 Pan American Games.	Brian Goodell winned three golds medal the 1979 Pan American Games.	entailment
514	"BBC Radio 1 bosses today reverse their decision to censor word ""faggot"" from the 20 year old ""Fairytale of New York"" song by Pogues. The initial censoring of song had caused the controversy recently as song had been played for 20 year without censoring, and have resulted in many persons contacting BBC saying decision had been ""like ridiculous"". ban have been also ridiculed for facts that only had applied to Radio 1 and not to Radio 2 or any other station on BBC network."	"Fairytale New York is not containing no word ""faggot""."	not_entailment
515	Nike Inc. saying, Monday, that its first-quarter profit grew 32 percent, as a world's most large sneaker and athletic apparel companys posted broad gains in sales and orders.	Nike had said that order for deliverys have been up 11 percent from the year earlier, and had been like optimistic about its growth prospect.	not_entailment
516	Munir Mezyed, poet and critic, arousing sentiment and emotion of audience when she recited her smooth flowing poetrys both in Arabic and English, which that demonstrated her unique and overwhelming style.	Gotthold Ephraim Lessing had lived from 1729 to 1781.	not_entailment
517	Qin Shi Huang, personal name Zheng, had been king Chinese State Qin 247 BCE 221 BCE, and then the first emperor the unified China 221 BCE 210 BCE, ruling name First Emperor.	Qin Shi Huang had been the first China Emperor.	entailment
518	"Meanwhile, an exclusive interview one TIMEs journalist, the first one--one session given to one Western prints publications his election president Iran earlier this year, Ahmadinejad had attacked ""threat"" to bring issue Iran's nuclear activitys UN Security Council US, France, Britain and Germany."	Ahmadinejab is threatening Iran nuclear activity.	not_entailment
520	Muslims are for friends commanded not to take Jews or Christians.	Jew and Christian are praying as Muslim do.	not_entailment
521	"In Wednesday's , Google had said had planned to complete IPO filing ""as soon as practicable."""	Of Google 's initial public offering 's like unclear whether Wednesday's twist would affect that timing .	not_entailment
522	Iranian nuclear officials are saying 54,000 centrifuge would produce enough enriched uraniums to fuel 1,000-megawatt reactor, such as Russia built one being that near the completion at the southern city of Bushehr.	54,000 centrifuges would produce enough enriched uraniums to fuel 1,000-megawatt reactor.	entailment
523	An attempted carjacking Thursday evenings in Johannesburg leaves famous South African reggae star Lucky Dube dead. was dropping his childs off in suburb of Rosettenville when have been attacked. Polouses had said that three gunshot have been fired through car window, injuring Dube. His childs have been out of car at times. An injured Dube then had attempted to drive his car away from area, but have hit tree soon after. had died at scene. polouses is suspecting that three persons have been like responsible for attack.	Lucky Dube had been one reggae star.	entailment
524	Mossad one of world's most well-known the intelligence agency, and is often viewed in the same regard as CIA and MI6.	Mossad the intelligence agency.	entailment
525	"Hugh had been also too supportive of Mustang plan to become Fuhrer, doing whatever did he can to, as he had put , to ""help him from bottom to top."""	Hugh had assisted Mustang.	entailment
526	Focus on engines and fuel, are stemming from pilot's radio call, shortly before crash.	Pilot had been attempted the emergency landing, after both engine failed it.	not_entailment
527	Tom Cruise is like married to actress Nicole Kidman and couple has 2 adopted childs.	Tom Cruise to Nicole Kidman is like married.	entailment
528	Theravada Buddhism is the official religion of Thailand and is religion of about 95% of its persons. governments permit religious diversitys, and so other major religion are represented. Spirit worship and the animism are widely practiced.	The official religion of Thailand is Theravada Buddhism.	entailment
530	Clonaid had said, Sunday, that the cloned baby, allegedly born an American woman, and his family were went to return United States Monday, but still where are living and so further details have been not released.	Clonaid had announced that mother and daughter would be returning a US Monday.	entailment
531	Mitsubishi Motors Corp.'s new vehicle sales US have fallen 46 percent June	Mitsubishi sales have risen 46 percent	not_entailment
